codigo,aplicacion,instancia,ambienteSV,nombreSVHost,nombreSVOVM,ipV4
SI056,CHATBOT AGENTI,Dirección Administrativa y Financiera (Isa),PRODUCCIÓN,VSPDAPCHDAF01,VSPDAPCHDAF01,172.30.163.31
SI056,CHATBOT AGENTI,Dirección Administrativa y Financiera (Isa),PRODUCCIÓN,VSPDAPCHDAF02,VSPDAPCHDAF02,172.30.163.32
SI056,CHATBOT AGENTI,Dirección Administrativa y Financiera (Isa),PRODUCCIÓN,VSPDBDCHDAF01,VSPDBDCHDAF01,172.31.4.29
SI157,COMUNICA,N/A,PRODUCCIÓN,VMDIGAPAA01,VMDIGAPAA01,172.16.2.227
SI059,PERIÓDICO WEB SENA,N/A,PRODUCCIÓN,VMDIGAPAA01,VMDIGAPAA01,172.16.2.227
SI173,WORLDSKILLS,N/A,PRODUCCIÓN,VMDIGAPAA01,VMDIGAPAA01,172.16.2.227
SI154,CONVOCATORIAS SENNOVA,N/A,PREPRODUCCIÓN,VSPPAPLABC01,VSPPAPLABC01,172.30.164.25
SI154,CONVOCATORIAS SENNOVA,N/A,PREPRODUCCIÓN,VSPPAPLABC02,VSPPAPLABC02,172.30.164.26
SI125,BLACKBOX,N/A,PREPRODUCCIÓN,VSPPAPBLBOX01,VSPPAPBLBOX01,172.30.164.73
SI125,BLACKBOX,N/A,PRODUCCIÓN,VSPDAPBLBOX01,VSPDAPBLBOX01,172.30.163.128
SI125,BLACKBOX,N/A,DESARROLLO,VSDEAPBLBOX01,VSDEAPBLBOX01,172.30.176.66
SI126,CAPACITACIÓN DE SEGURIDAD Y SALUD EN EL TRABAJO (SST),N/A,PRODUCCIÓN,VSPDBDCSST01,VSPDBDCSST01,172.31.4.85
SI156,CLASIFICACIÓN UNICA DE OCUPACIONES PARA COLOMBIA (CUOC),N/A,PREPRODUCCIÓN,VSPPAPCUOC01,VSPPAPCUOC01,172.30.164.56
SI156,CLASIFICACIÓN UNICA DE OCUPACIONES PARA COLOMBIA (CUOC),N/A,PREPRODUCCIÓN,VSPPBDCUOC01,VSPPBDCUOC01,172.31.4.157
SI156,CLASIFICACIÓN UNICA DE OCUPACIONES PARA COLOMBIA (CUOC),N/A,PRODUCCIÓN,VSPDAPCUOC01,VSPDAPCUOC01,172.30.163.66
SI009,CORREO ELECTRÓNICO MISENA,N/A,PREPRODUCCIÓN,VSPPAPMSENA01,VSPPAPMSENA01,172.30.164.63
SI008,CORREO INSTITUCIONAL EXCHANGE,N/A,PRODUCCIÓN,VSPDAPEXCH01,VSPDAPEXCH01,172.29.13.174
SI008,CORREO INSTITUCIONAL EXCHANGE,N/A,PRODUCCIÓN,VSPDAPEXCH02,VSPDAPEXCH02,172.29.13.175
SI050,COSTOS WEB,N/A,PREPRODUCCIÓN,VSPPAPCOST01,VSPPAPCOSTOS01,172.30.164.31
SI050,COSTOS WEB,N/A,PRODUCCIÓN,VSPDAPCOSTOS02,VSPDAPCOSTOS02,172.30.163.55
SI050,COSTOS WEB,N/A,PRODUCCIÓN,VSPDAPCOSTOS03,VSPDAPCOSTOS03,172.30.163.56
SI050,COSTOS WEB,N/A,PRODUCCIÓN,VSPDAPCOSTOS04,VSPDAPCOSTOS04,172.30.163.57
